연번,교육대상,콘텐츠상세대상자,교육주제,제목,개발연도
252,직무현장,양육자,가족친밀성,셰어런팅에서 잊힐 권리로,2022
253,아동청소년,대학생,시민성,"성범죄 양형기준, 알고 계신가요",2022
254,직무현장,민간기업,노동경제,성별임금격차,2022
255,아동청소년,대학생,시민성,스토킹범죄와 스토킹처벌법,2022
256,아동청소년,대학생,미디어,디지털 미디어 리터러시,2022
257,아동청소년,대학생,자아정체성,[해외콘텐츠] 건강하지 않은 관계를 끝내는 방법,2022
258,아동청소년,대학생,시민성,"[양성평등 입문 콘텐츠] 성평등, 지속가능한 내일을 위한 세계의 약속",2022
259,아동청소년,대학생,시민성,"[양성평등 입문 콘텐츠] 양성평등 사회, 모두를 위한 변화",2022
260,직무현장,과학기술,노동경제,[글로벌 인터뷰#1] 과학기술분야에서의 여성의 참여 - 바르바라 데 미셀리,2022
261,직무현장,과학기술,노동경제,[글로벌 인터뷰#2] 과학기술분야에서의 여성의 참여 - 우르줄라 스타체비츠,2022
262,직무현장,공공기관 고위직,시민성,고위직 대상 성매매 예방교육 강의안,2022
263,직무현장,공공기관 고위직,시민성,고위직 대상 가정폭력 예방교육 강의안,2022
264,직무현장,신규 임용자,시민성,안전한 공직생활 시작하기 Ⅰ,2022
265,직무현장,신규 임용자,시민성,안전한 공직생활 시작하기 Ⅱ,2022
266,직무현장,업무담당자,시민성,업무 담당자를 위한 폭력예방교육 기획운영 매뉴얼(교재),2022
267,직무현장,업무담당자,시민성,업무 담당자를 위한 폭력예방교육 기획운영 매뉴얼 1(영상),2022
268,직무현장,업무담당자,시민성,업무 담당자를 위한 폭력예방교육 기획운영 매뉴얼 2(영상),2022
269,아동청소년,중학생,"교육학교, 시민성, 미디어",오늘도 로그인했습니다 1부,2022
270,아동청소년,중학생,"교육학교, 시민성, 미디어",오늘도 로그인했습니다 2부,2022
271,아동청소년,고등학생,"교육학교, 시민성, 미디어",스쿨톡 : 사이버 성적 괴롭힘 편,2022
272,아동청소년,고등학생,"교육학교, 시민성, 미디어",스쿨톡 : 사이버 스토킹 편,2022
273,아동청소년,중학생,"교육학교, 시민성, 미디어",상담소 LOG-IN,2022
274,아동청소년,중학생,"교육학교, 시민성, 미디어","IF, 만약 당신이라면",2022
275,아동청소년,고등학생,"교육학교, 시민성, 미디어",유퀴즈 온 더 보드,2022
276,아동청소년,고등학생,"교육학교, 시민성, 미디어",안전한 디지털 세상 같이&가치,2022
277,아동청소년,초등(공통),"교육학교, 시민성, 미디어",디클 완전 정복 : 40분으로 몰아보기,2022
278,아동청소년,초등(저),"교육학교, 시민성, 미디어",신비금비와 수상한 비밀 채팅방,2022
279,아동청소년,초등(저),"교육학교, 시민성, 미디어",D-시티에서 생긴 일,2022
280,아동청소년,초등(고),"교육학교, 시민성, 미디어",레벨업 퀴즈쇼! 디지털 일상 속 함정을 찾아라,2022
281,아동청소년,대학생,"교육학교, 시민성, 미디어",찍고 올리고 ↔ 찍히고 퍼트려진,2022
282,아동청소년,대학생,"교육학교, 시민성, 미디어",코멘터리 쎄이다 : 우리 모두의 일,2022
283,아동청소년,양육자,"교육학교, 시민성, 미디어","알디? 알디! - 알고싶다. 디지털, 알아야한다. 디지털성범죄!",2022
284,아동청소년,교사,"교육학교, 시민성, 미디어",티처들의 빅픽처 - 디지털 성범죄를 예방하다,2022
285,아동청소년,초중고등학생,"교육학교, 시민성, 미디어",디지털성범죄 예방교육 콘텐츠 가이드라인 - 초중고(아동·청소년),2022
286,아동청소년,교사양육자,"교육학교, 시민성, 미디어",디지털성범죄 예방교육 콘텐츠 가이드라인 - 교사·양육자,2022
287,아동청소년,대학생,가족친밀성,통계로 알아보는 친밀한 관계에서의 폭력,2022
288,유아,유아,자아정체성,역할놀이를 통한 상상력 키우기-너는 어떤 놀이를 좋아하니,2022
289,초등(저),초등(저),자아정체성,텔레비전에 내가 나왔으면 정말 좋겠네,2022
290,초등(고),초등(고),자아정체성,초등 온작품읽기 수업꾸러미 동기유발 영상 -『5번 레인』함께 읽기,2022
291,초등(고),초등(고),자아정체성,초등 온작품읽기 수업꾸러미 수업안내서 -『5번 레인』함께 읽기,2022
292,유아,유아,시민성,놀이를 통해 배우는 공동체 규칙,2022
293,초등(저),초등(저),시민성,초등 온작품읽기 수업꾸러미 동기유발 영상 -『쿵푸 아니고 똥푸 - 라면 한 줄』함께 읽기,2022
294,초등(저),초등(저),시민성,초등 온작품읽기 수업꾸러미 수업안내서 -『쿵푸 아니고 똥푸 - 라면 한 줄』함께 읽기,2022
295,초등(고),초등(고),시민성,모두를 위한 다양성,2022
296,초등(저),초등(저),교육학교,민주시민교육을 위한 성평등 교육 수업자료 활용가이드-민주시민교육×성평등 교육(초등 저학년용),2022
297,초등(고),초등(고),교육학교,민주시민교육을 위한 성평등 교육 수업자료 활용가이드-민주시민교육×성평등 교육(초등 고학년용),2022
298,초등(고),초등(고),교육학교,「축구를 시작한 너에게」영상 활용 수업안내서,2022
299,초등(공통),초등(공통),교육학교,초등 교사를 위한 성평등 교육 가이드 -성평등 미디어 리터러시 교육 A to Z,2022
300,초등(공통),초등(공통),교육학교,성평등 교육을 위한 초등 온작품읽기 추천도서 목록,2022
301,초등(저),초등(저),노동경제,‘미래의 나’에게 보내는 메시지,2022
302,초등(저),초등(저),노동경제,「할머니의 트랙터」함께 읽기,2022
303,초등(고),초등(고),시민성,나만의 멋진 SNS 만들기 ,2022
304,초등(고),초등(고),시민성,SNS 속 고민을 해결해보자 ,2022
305,초등(고),초등(고),시민성,모두의 온라인 대화,2022
306,초등(고),초등(고),시민성,"랜선 친구, 해도 좋은 걸까",2022
307,초등(고),초등(고),시민성,나로 말할 것 같으면 ,2022
308,초등(고),초등(고),시민성,혐오차별 대응: 괴롭힘 멈춰! 게임하기,2022
309,초등(고),초등(고),시민성,민주 시민으로서 갈등 해결하기 ,2022
310,초등(고),초등(고),노동경제,여행용 가방을 채워라!,2022
311,중고등학생,중고등학생,교육학교,평등한 우리 사이 연결하는 이런 대화 어때요,2022
312,중고등학생,중고등학생,시민성,아테네의 민주정치는 민주적이었을까,2022
313,중고등학생,중고등학생,시민성,시민의 손으로 만드는 평등한 민주사회 - 호주제 폐지로 보는 모두를 위한 법으로 나아가기,2022
314,중고등학생,중고등학생,시민성,더 평등한 세상을 위하여 : 민주시민교육과 연계한 사회과 성평등 수업 꿀팁,2022
315,중고등학생,중고등학생,시민성,다정하게 공존하는 삶의 이해 개념 익히기,2022
316,중고등학생,중고등학생,시민성,다정하게 공존하는 삶의 이해 심화 독서활동,2022
317,중고등학생,중고등학생,시민성,성평등하게 미디어 하기 미디어 비평,2022
318,중고등학생,중고등학생,시민성,성평등하게 미디어 하기 나만의 콘텐츠 만들기,2022
319,중고등학생,중고등학생,시민성,중등 교사를 위한 성평등 교육 가이드 -성평등 미디어 리터러시 교육 A to Z,2022
320,중고등학생,중고등학생,자아정체성,매력을 주장하는 글쓰기-진정한 나의 매력을 찾아서,2022
321,중고등학생,중고등학생,자아정체성,매력을 주장하는 글쓰기-우리의 매력을 소개합니다,2022
322,직무 현장,성평등교육 관계자,시민성,청년의 정치참여와 정치교육_국제심포지엄 영상_한영,2022
323,직무 현장,성평등교육 관계자,시민성,공정한 민주적 참여를 위한 시민교육_국제심포지엄 영상_한영,2022
324,직무 현장,성평등교육 관계자,시민성,선거와 여성의 정치참여: 도전과 전망_국제심포지엄 영상_한영,2022
325,직무 현장,성평등교육 관계자,시민성,평등을 위한 기반: 여성의 정치역량강화를 위한 교육_국제심포지엄 영상_한영,2022
326,직무 현장,성평등교육 관계자,시민성,글로벌 양성평등 이슈 (유럽연합)_한국어,2022
327,직무 현장,성평등교육 관계자,시민성,글로벌 양성평등 이슈 (유럽연합)_영어,2022
328,직무 현장,성평등교육 관계자,시민성,글로벌 양성평등 이슈 (캐나다)_한국어,2022
329,직무 현장,성평등교육 관계자,시민성,글로벌 양성평등 이슈 (캐나다)_영어,2022
330,직무현장,공공기관,시민성,2022년 성희롱·성폭력 고충상담원 업무매뉴얼,2022
331,직무현장,공공기관 업무담당자,노동·경제,2022년 폭력예방교육 현장점검 및 컨설팅 사업 안내 리플렛,2022
332,직무현장,공공기관,시민성,2023년 성희롱·성폭력 고충상담원 업무매뉴얼,2023
333,아동청소년,초등(저),"교육학교, 시민성, 미디어",구해줘! 포근포근 디지털 세상 -디지털성범죄로부터 안전한 SNS 이용법 (게임),2023
334,아동청소년,초등(저),"교육학교, 시민성, 미디어",미션! 디클빌 모험-디지털성범죄 알아차리기 (게임),2023
335,아동청소년,초등(고),"교육학교, 시민성, 미디어",쉬는 시간 10분 동안에 일어난 일- 동의가 필요해 (영상),2023
336,아동청소년,초등(고),"교육학교, 시민성, 미디어",인싸가 되고 싶어! - 친구 사진을 합성했더니… (영상),2023
337,아동청소년,중학생,"교육학교, 시민성, 미디어",이야기로 듣는 온라인 그루밍 (영상),2023
338,아동청소년,중학생,"교육학교, 시민성, 미디어",N개의 노력 ? 안전한 디지털 세계를 연결하다  (영상),2023
339,아동청소년,고등학생,"교육학교, 시민성, 미디어",‘네컷사진’도 동의가 필요하다고? (1편)- 5분 토론 (영상),2023
340,아동청소년,고등학생,"교육학교, 시민성, 미디어",‘네컷사진’도 동의가 필요하다고? (2편)- 3분 강의 (영상),2023
341,아동청소년,고등학생,"교육학교, 시민성, 미디어","디지털 성착취, 우리는 OO합니다 (영상)",2023
342,아동청소년,중고등학생,"교육학교, 시민성, 미디어",J를 위하여-2차 피해 예방을 위한 주변인의 역할(게임),2023
343,아동청소년,중고등학생,"교육학교, 시민성, 미디어",EP1. 방학 시작! 상담 시작! | 디지털성범죄 피해지원(영상),2023
344,아동청소년,중고등학생,"교육학교, 시민성, 미디어",EP2. 불법영상물을 삭제할 수 있다고? | 피해물 삭제지원(영상),2023
345,아동청소년,중고등학생,"교육학교, 시민성, 미디어",EP3. 인생 첫 경찰서 방문기 | 수사 연계지원(영상),2023
346,아동청소년,교사양육자,"교육학교, 시민성, 미디어",[XR특집] 디지털 성범죄 대응 토크쇼  -양육자들- (영상),2023
347,아동청소년,교사양육자,"교육학교, 시민성, 미디어",디지털시대! 교사들을 위한 정보 <알고 대처하는 디지털성범죄> (영상),2023
348,아동청소년,교사양육자,"교육학교, 시민성, 미디어",디지털 성범죄 예방교육 콘텐츠 활용 안내서 ver. 발달장애 및 느린학습자 아동·청소년 양육자,2023
349,직무현장,수사기관 종사자,시민성,토킹 어바웃 스토킹 1차시 (수사기관 대상 스토킹범죄 2차피해 예방) (영상),2023
350,직무현장,수사기관 종사자,시민성,토킹 어바웃 스토킹 2차시 (수사기관 대상 스토킹범죄 2차피해 예방) (영상),2023
351,직무현장,수사기관 종사자,시민성,토킹 어바웃 스토킹 교보재,2023
352,직무현장,공공기관,시민성,"조직원을 위한 2차 피해 예방교육: 주변인 개입, 2차 피해 예방 ON 1차시 (영상)",2023
353,직무현장,공공기관,시민성,"조직원을 위한 2차 피해 예방교육: 주변인 개입, 2차 피해 예방 ON 2차시 (영상)",2023
354,직무현장,공공기관,가족 · 친밀성,가정폭력 예방교육 1차시 (애니메이션) (영상)_*제목 변경 예정 (조직역량교육부 김신영),2023
355,직무현장,공공기관,가족 · 친밀성,가정폭력 예방교육 2차시 (다큐) 영상)_*제목 변경 예정 (조직역량교육부 김신영),2023
356,직무현장,공공기관,성인지교육,"청소년지도사 대상 성인지교육 콘텐츠 기본편, 심화편",2023
357,직무현장,공공기관,성인지교육,"청소년상담사 대상 성인지교육 콘텐츠 기본편, 심화편",2023
358,직무현장,공공기관,성인지교육,한국어교원 대상 성인지교육 콘텐츠,2023
359,직무 현장,민간기업,노동·경제,네 마음이 들려서,2023
360,아동청소년,대학생,시민성,성차별 탈출 토크쇼 : 당근을 흔들어 주세요,2023
361,아동청소년,대학생,시민성,내가 바라는 양성평등한 사회,2023
362,아동청소년,대학생,시민성,슬기로운 나의 생활,2023
363,아동청소년,대학생,시민성,그건 사랑이 아니야,2023
364,아동청소년,대학생,시민성,착취도 인신매매,2023
365,직무 현장,과학기술,시민성,과학기술의 양성평등적 가치,2023
366,직무 현장,공공기관,노동·경제,성별대표성 : 평등의 무게를 나눠 들다,2023
367,직무 현장,민간기업,노동·경제,"직업, 성별을 넘다",2023
368,양육자,양육자,노동·경제,노벨 경제학상의 의미,2023
369,직무 현장,민간기업,노동·경제,지금의 DEI,2023
370,아동청소년,대학생,시민성,변화와 위기 사이,2023
371,직무 현장,과학기술,노동·경제,여성의 정보통신기술(ICT) 분야 참여 확대,2023
372,양육자,양육자,가족·친밀성,노인과 돌봄: 조부모의 양육,2023
373,양육자,양육자,가족·친밀성,노인과 돌봄: 노인을 돌보는 여성들,2023
374,직무 현장,문화예술체육,시민성,"[문화, 젠더하다] 그녀들의 이야기, 그 감독의 이야기: 영화 ‘허스토리’",2023
375,양육자,양육자,가족·친밀성,"[문화, 젠더하다] 엄마들이 모여서 책을 만든 이유: 책 ‘우리 같이 볼래요’",2023
376,직무 현장,민간기업,시민성,"[문화, 젠더하다] 명함없이 진짜 ‘일’을 한 이유: 책 ‘우리가 명함이 없지 일을 안 했냐’",2023
377,아동청소년,대학생,시민성,"[문화, 젠더하다] 여성 국극의 서사 현재 우리의 서사: 웹툰 ‘정년이’",2023
378,양육자,양육자,가족·친밀성,"[문화, 젠더하다] 세 아빠들의 육아 이야기",2023
379,직무 현장,민간기업,노동·경제,우리들의 소리: 항해사 이야기,2023
380,직무 현장,민간기업,노동·경제,우리들의 소리: 콜센터 이야기,2023
381,직무 현장,민간기업,노동·경제,우리들의 소리: 정비사 이야기,2023
382,양육자,양육자,노동·경제,우리들의 소리: 유치원 선생님 이야기,2023
383,직무 현장,민간기업,노동·경제,우리들의 소리: 안전매니저 이야기,2023
384,직무 현장,민간기업,노동·경제,[젠더N이슈] 「남녀고용평등법」 적용사례,2023
385,직무 현장,과학기술,시민성,[젠더N이슈] 과학기술의 젠더 편향,2023
386,직무 현장,민간기업,자아정체성,[알아두면 유용한 젠더 지식] 성별 다양성이 갖는 이로움,2023
387,직무 현장,민간기업,노동·경제,[알아두면 유용한 젠더 지식] 양성평등 조직문화와 앨라이십,2023
388,아동청소년,대학생,시민성,[광복절 특별 인터뷰] 그녀들과의 대화,2023
389,아동청소년,대학생,시민성,함께하는 체육의 날,2023
390,아동청소년,대학생,시민성,보이지 않는 폭력,2023
391,아동청소년,대학생,시민성,[여성의 날 특집] 책으로 연결되는 우리,2023
392,아동청소년,대학생,시민성,[장애인의 날 특집] 유니버설 디자인의 시대,2023
393,아동청소년,대학생,시민성,[과학의 날 특집] 디지털 리터러시를 기르려면?,2023
394,양육자,양육자,가족·친밀성,[수신지작가x양평원 웹툰] 합리적인 선택 1,2023
395,양육자,양육자,가족·친밀성,[수신지작가x양평원 웹툰] 합리적인 선택 2,2023
396,아동청소년,대학생,시민성,이달의 젠더뷰: 섭식장애를 대하는 우리의 자세 - 박지니 작가 편,2023
397,직무 현장,문화예술체육,미디어,이달의 젠더뷰: K-콘텐츠 속 여성의 존재감 - 황진미 평론가 편,2023
398,직무 현장,과학기술,미디어,이달의 젠더뷰: AI에게 양성평등을 묻다 - 챗GPT 편,2023
399,양육자,양육자,노동·경제,이달의 젠더뷰: 생애주기별 가사노동 경험 - 윤자영 교수 편,2023
400,직무 현장,문화예술체육,미디어,이달의 젠더뷰: AI 악용의 윤리적 심각성 - 이상욱 교수 편,2023
401,직무 현장,문화예술체육,미디어,이달의 젠더뷰: 벡델데이가 켜는 미래 - 민용근 감독 편,2023
402,아동청소년,대학생,가족·친밀성,이달의 젠더뷰: 한국 사회의 저출생 - 송다영 교수 편,2023
403,아동청소년,대학생,시민성,이달의 젠더뷰: 현재의 성폭력처벌법 - 공정식 교수 편,2023
404,아동청소년,대학생,시민성,이달의 젠더뷰: 농촌의 양성평등 - 이순미 박사 편,2023
405,아동청소년,대학생,시민성,"이달의 젠더뷰: 범죄의 사각지대, 노인 대상 성범죄 - 이성기 교수 편",2023
406,아동청소년,대학생,시민성,[글로벌 인터뷰] Catherine Raper 주한 호주 대사,2023
407,아동청소년,대학생,시민성,[글로벌 인터뷰] Michelle Winthrop 주한 아일랜드 대사,2023
408,아동청소년,청소년,시민성,온라인 성 착취 범죄로부터 자신을 지키는 방법(amaze 국문화),2023
409,직무 현장,민간기업,시민성,성희롱·성폭력 고충상담원 Q&A,2023
410,아동청소년,청소년,미디어,요즘 우리 드라마는?: 미디어 속 양성평등을 위한 다양한 노력들,2023
411,아동청소년,대학생,시민성,"원하지 않는 관심, 사랑일까요?",2023
412,아동청소년,청소년,미디어,미디어가 가져온 10대들의 프로아나,2023
413,아동청소년,청소년,시민성,성별 고정관념에서 벗어나기,2023
414,아동청소년,대학생,시민성,일상이라는 드라마(제7회 양성평등 콘텐츠 대국민 아이디어 공모전 수상작 활용),2023
415,아동청소년,대학생,가족·친밀성,"아침, 점심, 저녁(제7회 양성평등 콘텐츠 대국민 아이디어 공모전 수상작 활용)",2023
416,아동청소년,아동,시민성,[ ]는 무엇이든 될 수 있다(제7회 양성평등 콘텐츠 대국민 아이디어 공모전 수상작 활용),2023
417,양육자,양육자,가족·친밀성,환승육아(제7회 양성평등 콘텐츠 대국민 아이디어 공모전 수상작 활용),2023
418,아동청소년,대학생,시민성,틀린 그림 찾기(제7회 양성평등 콘텐츠 대국민 아이디어 공모전 수상작 활용),2023
419,성인,성인,"성역할, 글로벌, 법제도",2023 국제심포지엄_사례에 기반한 양성평등 교육,2023
420,성인,성인,"성역할, 글로벌, 법제도",2023 국제심포지엄_양성평등과 남성의 참여,2023
421,성인,성인,"성역할, 글로벌, 법제도",2023 국제심포지엄_즉흥드라마를 이용한 의식변화와 문제해결,2023
422,성인,성인,"성역할, 글로벌, 법제도","2023 국제심포지엄_일터에서의 성공적엔 젠더, 다양성",2023
423,성인,성인,"성역할, 글로벌, 법제도",2023 국제심포지엄_한국 양성평등교육의 현황과 발전방향,2023
424,"전문강사, 교사","전문강사, 교사 등 성평등교육 관계자",교육 · 학교,2023년 아동?청소년 양성평등교육 콘텐츠 활용 안내서,2023
